iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,f_prev,f_next,grad_norm_prev,grad_norm_next,actual_reduction,accepted,gtd,rho,sigma,model_decrease,actual_decrease,lambda_value,cubic_solver,projected_grad_norm,u_norm,y_norm,hvp_calls_iter,hvp_calls_cum,rk_hvp_calls_iter,rk_hvp_calls_cum,subprob_hvp_calls_iter,subprob_hvp_calls_cum,rk_residual_norm_init,rk_residual_norm_final,rk_inner_minres_total_iters,rk_minres_fail,alpha_ws,seed_sketch,rk_seed_base,rk_steps_taken,rk_stop_reason
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,2.3025850929940463,2.3025850929940463,1.9158613282439758,1.9158613282439758,0.0,1,nan,nan,1.0,nan,0.0,0.0,lanczos,nan,nan,1.0,0,0,0,0,0,0,nan,nan,0,0,nan,,,0,
1,1.3559832450840428,1.017127358738555,4.12417204277586,1.0,60.70689533324912,60.685026520397514,2.3025850929940463,1.3559832450840428,1.9158613282439758,1.017127358738555,0.9466018479100036,1,-1.4020519765507597,1.1622442669260034,0.5,0.8144603289062908,0.9466018479100036,0.8796270991504876,lanczos,1.806547934099652,0.8796270991504876,8.66423354588854,3588,3588,3539,3539,49,49,4.218768555647856,0.011040979328132632,3438,0,1.0,3757552657,0,100,max_steps
2,0.8309144510446281,0.5648374028327698,4.020659401791487,1.0,119.785656909924,59.07866086345166,1.3559832450840428,0.8309144510446281,1.017127358738555,0.5648374028327698,0.5250687940394146,1,-0.7626942753806596,1.2268674054542053,0.25,0.4279751762131345,0.5250687940394146,0.4120147860504458,lanczos,1.0911721513692068,0.8240295721008916,14.554462302523442,3528,7116,3471,7010,57,106,1.8905759935019952,0.00939529558711802,3369,0,1.4117248458958724,673228719,1,100,max_steps
3,0.5858634536140324,0.3433384793787615,3.6210740762730906,1.0,179.58013883419335,59.79438539920375,0.8309144510446281,0.5858634536140324,0.5648374028327698,0.3433384793787615,0.24505099743059577,1,-0.35001678845068124,1.2706586117001992,0.125,0.19285352900784763,0.24505099743059577,0.18844460135212635,lanczos,0.5805208258678658,0.7537784054085054,24.06173804303271,3574,10690,3505,10515,69,175,0.9469767948792218,0.01014955751660503,3403,0,1.5790748758569455,3241444873,2,100,max_steps
4,0.44597268858745565,0.21017959520858526,3.45530729219253,1.0,240.50978460209444,60.929550152271986,0.5858634536140324,0.44597268858745565,0.3433384793787615,0.21017959520858526,0.1398907650265767,1,-0.2037478942978623,1.270312528861394,0.0625,0.11012310895804794,0.1398907650265767,0.09178964693872367,lanczos,0.3357454122282198,0.7343171755097894,38.9319746684914,3640,14330,3559,14074,81,256,0.6135061711132562,0.010837401629398533,3457,0,1.5521280224173202,3685993406,3,100,max_steps
5,0.3615950660081265,0.1458985190553773,3.3286630253203007,1.0,301.99015499604866,61.48026388324797,0.44597268858745565,0.3615950660081265,0.21017959520858526,0.1458985190553773,0.08437762257932913,1,-0.12339707822589822,1.2666648884887024,0.03125,0.06661400607701592,0.08437762257932913,0.04865849683530671,lanczos,0.2142230935773166,0.7785359493649073,65.60719827358945,3678,18008,3587,17661,91,347,0.29496620019429937,0.013691059158340353,3485,0,1.579108043472444,1216546553,4,100,max_steps
6,0.2980156526033699,0.09699414824830381,3.807812280750182,1.0,363.80919098109007,61.8189385519363,0.3615950660081265,0.2980156526033699,0.1458985190553773,0.09699414824830381,0.06357941340475665,1,-0.09283648485414453,1.265386694931036,0.015625,0.05024504656121878,0.06357941340475665,0.02819870583136348,lanczos,0.14651650967728144,0.9023585866036313,104.51517687021924,3699,21707,3604,21265,95,442,0.2858559069216514,0.018341897771926186,3502,0,1.5043818078587203,2078861726,5,100,max_steps
7,0.2561705604972594,0.06943868665399063,3.6529054190638126,1.0,426.86323996214196,63.05395008297637,0.2980156526033699,0.2561705604972594,0.09699414824830381,0.06943868665399063,0.04184509210611048,1,-0.06119692236514169,1.263718850239196,0.0078125,0.03311265959053318,0.04184509210611048,0.015442950601813799,lanczos,0.09678410715590743,0.9883488385160831,170.65233866093052,3746,25453,3647,24912,99,541,0.33460139568913116,0.02322281352388122,3545,0,1.5715242971454715,2471122328,6,100,max_steps
8,0.22157780141848737,0.05060761361305774,3.915738712799249,1.0,490.6230219132267,63.75967690581456,0.2561705604972594,0.22157780141848737,0.06943868665399063,0.05060761361305774,0.03459275907877202,1,-0.05119423398460236,1.2483597171333398,0.00390625,0.027710569801314002,0.03459275907877202,0.009181379780673286,lanczos,0.0702823964611633,1.1752166119261807,266.9502910351704,3819,29272,3712,28624,107,648,0.3297345520073482,0.025460246207642305,3610,0,1.4994491421144946,23012616,7,100,max_steps
9,0.19671935317747674,0.03971934990320748,3.977568255383907,1.0,555.2309406590648,64.60781998606399,0.22157780141848737,0.19671935317747674,0.05060761361305774,0.03971934990320748,0.024858448241010633,1,-0.035924896325784994,1.255962594672193,0.001953125,0.019792347595748824,0.024858448241010633,0.005512723088115984,lanczos,0.05089403477430694,1.4112571105576919,406.6780269958823,3840,33112,3725,32349,115,763,0.3308465202092833,0.03251654536147347,3623,0,1.4797347093563322,3031610183,8,100,max_steps
10,0.17352203131155056,0.03086203401685587,4.255284931254409,1.0,619.1477926350199,63.91674979403615,0.19671935317747674,0.17352203131155056,0.03971934990320748,0.03086203401685587,0.023197321865926185,1,-0.033803967756008566,1.2496789394893908,0.0009765625,0.018562625273499795,0.023197321865926185,0.0033622427780677245,lanczos,0.04072790541147803,1.721468302370675,573.1413980785038,3825,36937,3706,36055,119,882,0.37972606272650306,0.03590273067349351,3604,0,1.4110515959879837,2976135721,9,100,max_steps
11,0.1567823137085545,0.023946851798663214,3.7362523129478884,1.0,683.6164787863381,64.46856364468113,0.17352203131155056,0.1567823137085545,0.03086203401685587,0.023946851798663214,0.016739717602996057,1,-0.023099400141788132,1.2792288421988167,0.00048828125,0.013085788133280991,0.016739717602996057,0.0020637439169953137,lanczos,0.029303332441471396,2.1132737710032012,829.3162443864546,3864,40801,3743,39798,121,1003,0.3727949108592672,0.04306442068148244,3641,0,1.464307700088312,556745865,10,100,max_steps
12,0.1415674493176161,0.018251930692728704,3.9399719461984284,1.0,748.1551233641803,64.53854058124125,0.1567823137085545,0.1415674493176161,0.023946851798663214,0.018251930692728704,0.015214864390938387,1,-0.020194965972000094,1.3069272305564477,0.000244140625,0.011641707384473416,0.015214864390938387,0.0013023686353354062,lanczos,0.0231506982032756,2.667250965166912,1177.1585739491954,3871,44672,3744,43542,127,1130,0.4245534908086147,0.04513196688942838,3642,0,1.4540464443833998,4118645239,11,100,max_steps
13,0.1272680897054808,0.01590154106127949,4.342925718590551,1.0,812.9264223473147,64.77119812974706,0.1415674493176161,0.1272680897054808,0.018251930692728704,0.01590154106127949,0.014299359612135298,1,-0.01833592562402428,1.3298820993883358,0.0001220703125,0.010752351369126728,0.014299359612135298,0.0008274930996920396,lanczos,0.018875475710627396,3.389411736338594,1661.505357936648,3883,48555,3754,47296,129,1259,0.48841371366625747,0.055456993112433406,3652,0,1.458550869861015,2090914255,12,100,max_steps
14,0.11425264600019179,0.011897921499995736,4.9537745753876825,1.0,877.9298101412132,65.00328756822273,0.1272680897054808,0.11425264600019179,0.01590154106127949,0.011897921499995736,0.013015443705289023,1,-0.016124722336718272,1.3515262147653437,6.103515625e-05,0.009630182206675737,0.013015443705289023,0.000519464640230355,lanczos,0.018308828815741317,4.255454332767068,2203.066632068107,3901,52456,3766,51062,135,1394,0.5083611282274184,0.06236458050697041,3664,0,1.4183813953886215,1802160804,13,100,max_steps
15,0.10174188854542733,0.01004259689513099,5.875848609999189,1.0,942.9311853940599,65.00127118593082,0.11425264600019179,0.10174188854542733,0.011897921499995736,0.01004259689513099,0.01251075745476446,1,-0.015039918618439094,1.3727728329904365,3.0517578125e-05,0.009113494348158925,0.01251075745476446,0.00032902147746109874,lanczos,0.011490478958417902,5.390687886722642,3196.84851842724,3900,56356,3771,54833,129,1523,0.8012535441053678,0.07104568755177658,3669,0,1.5623970778888197,3957305396,14,100,max_steps
16,0.08930078374618945,0.00841047822685352,7.148419423125051,1.0,1008.2561352131888,65.32483569392934,0.10174188854542733,0.08930078374618945,0.01004259689513099,0.00841047822685352,0.012441104799237879,1,-0.014829259188469092,1.3767148168230878,1.52587890625e-05,0.009036806059766988,0.012441104799237879,0.00020850496044650874,lanczos,0.009832922672661733,6.832290543911198,3998.2438092701136,3920,60276,3787,58620,133,1656,0.5738420154783621,0.08114759435781427,3685,0,1.3807236099479363,2416193258,15,100,max_steps
17,0.07758430220691742,0.006586079610790257,8.800892352753568,1.0,1073.3825018801726,65.12625554483384,0.08930078374618945,0.07758430220691742,0.00841047822685352,0.006586079610790257,0.01171648153927203,1,-0.013703960828360465,1.3909157588648744,7.62939453125e-06,0.008423573796326706,0.01171648153927203,0.00012997022805209728,lanczos,0.007248550754094012,8.517728865622248,5161.886304271289,3908,64184,3773,62393,135,1791,0.8060966292643471,0.08567368006662097,3671,0,1.458098646204956,2322685169,16,100,max_steps
18,0.06608523476422264,0.004780993355087096,10.700269548069645,1.0,1139.1209716922604,65.73836385924369,0.07758430220691742,0.06608523476422264,0.006586079610790257,0.004780993355087096,0.011499067442694785,1,-0.013485819501443475,1.3918267557377595,3.814697265625e-06,0.00826185255836638,0.011499067442694785,8.095134551285803e-05,lanczos,0.0066495428253592745,10.610454759061328,6653.2258708388135,3945,68129,3810,66203,135,1926,1.155947003355622,0.10417350995217768,3708,0,1.4825399380381825,3860999861,17,100,max_steps
19,0.054978155841158095,0.003562471624111038,13.246153682384147,1.0,1204.8223521099426,65.70127292908728,0.06608523476422264,0.054978155841158095,0.004780993355087096,0.003562471624111038,0.01110707892306454,1,-0.013094402990948004,1.389180181515976,1.9073486328125e-06,0.007995419939653671,0.01110707892306454,5.0192080438321887e-05,lanczos,0.004783196941588537,13.157552734423453,8672.957235704636,3938,72067,3813,70016,125,2051,1.1966342049095007,0.11500441521809977,3711,0,1.5224757328991783,3521360814,18,100,max_steps
20,0.04461835421203134,0.002471760982323237,15.954714071323366,1.0,1271.1440190011635,66.32156093697995,0.054978155841158095,0.04461835421203134,0.003562471624111038,0.002471760982323237,0.010359801629126753,1,-0.01242708464030763,1.3832063413783426,9.5367431640625e-07,0.007489700790992166,0.010359801629126753,3.0313617972649018e-05,lanczos,0.00337266260398415,15.893066139644208,10801.99115950452,3977,76044,3844,73860,133,2184,1.901121528172574,0.152819597770467,3742,0,1.5271055643666869,2710367621,19,100,max_steps
21,0.03517838076466471,0.0016582158203528822,19.040692730149605,1.0,1338.4953797343187,67.3512324988842,0.04461835421203134,0.03517838076466471,0.002471760982323237,0.0016582158203528822,0.009439973447366634,1,-0.011532795128024262,1.3767463373864013,4.76837158203125e-07,0.0068567267556980515,0.009439973447366634,1.8120396394804624e-05,lanczos,0.002066052174652683,19.000612770078654,13532.282131070371,4043,80087,3904,77764,139,2323,1.3948064509200497,0.22241104238885379,3802,0,1.600630782899077,2613302452,20,100,max_steps
22,0.026739036087838126,0.0010938992571293462,22.3795973380117,1.0,1406.7076429850422,68.21215254906565,0.03517838076466471,0.026739036087838126,0.0016582158203528822,0.0010938992571293462,0.008439344676826582,1,-0.010522175443505278,1.372334292718479,2.384185791015625e-07,0.0061496274789642905,0.008439344676826582,1.0662480819493818e-05,lanczos,0.0015746797338809272,22.3608429755631,16681.586577344617,4094,84181,3953,81717,141,2464,1.4014178777489046,0.31335154052962927,3851,0,1.676528112291199,691998362,21,100,max_steps
23,0.01930626909605082,0.0016252592933220249,26.7121172848884,1.0,1475.7747844439,69.0670354347676,0.026739036087838126,0.01930626909605082,0.0010938992571293462,0.0016252592933220249,0.007432766991787305,1,-0.009334884230435748,1.3704083452543858,1.1920928955078125e-07,0.005423760748047384,0.007432766991787305,6.365635703208014e-06,lanczos,0.001096999918622515,26.699411292508184,20343.766351130573,4140,88321,4011,85728,129,2593,1.3354279076998978,0.40829349176578644,3909,0,1.824056279494137,3097918053,22,100,max_steps
24,0.013213192716153371,0.002752301550388721,32.30673688023012,1.0,1545.686784033198,69.91188029479235,0.01930626909605082,0.013213192716153371,0.0016252592933220249,0.002752301550388721,0.00609307637989745,1,-0.007844107952469632,1.3275422009874802,5.960464477539063e-08,0.0045897421380391296,0.00609307637989745,3.847021144851768e-06,lanczos,0.0016814010669768658,32.2711523518727,18033.55222265937,4192,92513,4061,89789,131,2724,3.115458911692666,0.21250288369217687,3959,0,1.9794053440776982,1397135628,23,100,max_steps
25,0.008565970950669799,0.002577580434705036,36.84388101555044,1.0,1617.2118898849003,71.52499996870756,0.013213192716153371,0.008565970950669799,0.002752301550388721,0.002577580434705036,0.004647221765483572,1,-0.0060503884096196735,1.3199140634141764,2.9802322387695312e-08,0.00352085176929077,0.004647221765483572,2.1943797315607845e-06,lanczos,0.0030961150327896486,36.8155827424173,16937.843457605937,4292,96805,4151,93940,141,2865,2.138281101556682,0.07349589817395537,4049,0,1.9995904967568268,227095882,24,100,max_steps
26,0.005504205129216027,0.0008120433591229933,39.18781891955253,1.0,1689.9805743689649,72.76857713283971,0.008565970950669799,0.005504205129216027,0.002577580434705036,0.0008120433591229933,0.0030617658214537723,1,-0.003963017148555031,1.342948674104522,1.4901161193847656e-08,0.0022798829772815834,0.0030617658214537723,1.1672661548984657e-06,lanczos,0.0026180798037888646,39.166952820442035,20939.168914720703,4364,101169,4223,98163,141,3006,2.3977697139466376,0.04355847927599735,4121,0,2.0006563638848123,1284190969,25,100,max_steps
