iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,f_prev,f_next,grad_norm_prev,grad_norm_next,actual_reduction,accepted,gtd,rho,sigma,model_decrease,actual_decrease,lambda_value,cubic_solver,projected_grad_norm,u_norm,y_norm,hvp_calls_iter,hvp_calls_cum,rk_hvp_calls_iter,rk_hvp_calls_cum,subprob_hvp_calls_iter,subprob_hvp_calls_cum,rk_residual_norm_init,rk_residual_norm_final,rk_inner_minres_total_iters,rk_minres_fail,alpha_ws,seed_sketch,rk_seed_base,rk_steps_taken,rk_stop_reason
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,2.3025850929940463,2.3025850929940463,1.9158613282439758,1.9158613282439758,0.0,1,nan,nan,1.0,nan,0.0,0.0,lanczos,nan,nan,1.0,0,0,0,0,0,0,nan,nan,0,0,nan,,,0,
1,1.3352187342261497,1.3307767827051695,4.340942761256601,1.0,60.85655182087794,60.83485992299393,2.3025850929940463,1.3352187342261497,1.9158613282439758,1.3307767827051695,0.9673663587678967,1,-1.5147040623046621,1.1001686595240694,0.5,0.8792891438903352,0.9673663587678967,0.901077999130314,lanczos,2.1454851122596583,0.901077999130314,8.891980349974382,3626,3626,3575,3575,51,51,4.218768555647856,0.011138324691768358,3474,0,1.0,2001025171,2000006,100,max_steps
2,0.8742712963926643,0.6040385601228505,3.9058742216367106,1.0,118.98777829762548,58.13111717114225,1.3352187342261497,0.8742712963926643,1.3307767827051695,0.6040385601228505,0.46094743783348535,1,-0.6738858392670086,1.220970697479126,0.25,0.37752538925395945,0.46094743783348535,0.3933778573094637,lanczos,1.3069679041507831,0.7867557146189273,15.984280270519557,3469,7095,3410,6985,59,110,1.4676665980965116,0.009998531933725031,3308,0,1.5394129064205262,2240297063,2000007,100,max_steps
3,0.6268707552624674,0.38280383348469543,3.762786462640892,1.0,178.6205625180155,59.63268015300855,0.8742712963926643,0.6268707552624674,0.6040385601228505,0.38280383348469543,0.24740054113019694,1,-0.3494011889147843,1.2720153869793334,0.125,0.19449492801946466,0.24740054113019694,0.1950701047020877,lanczos,0.5736345499399478,0.7802804188083508,27.642875502971442,3560,10655,3491,10476,69,179,0.7697420358045333,0.011125195084462967,3389,0,1.711407256328842,1311118443,2000008,100,max_steps
4,0.4705816499383981,0.23618755367922792,3.4592052647134333,1.0,238.88688738970086,60.26622003596276,0.6268707552624674,0.4705816499383981,0.38280383348469543,0.23618755367922792,0.15628910532406926,1,-0.230427367669737,1.2633365196521722,0.0625,0.12371138084973553,0.15628910532406926,0.09270237047434698,lanczos,0.3871660255778324,0.7416189637947759,42.75997714288117,3597,14252,3514,13990,83,262,0.38161553317988994,0.011449458650513791,3412,0,1.5359112362049818,2854122131,2000009,100,max_steps
5,0.37930888849361877,0.1530452103582789,3.5609173430352947,1.0,299.27984046470374,60.39285466494039,0.4705816499383981,0.37930888849361877,0.23618755367922792,0.1530452103582789,0.09127276144477936,1,-0.13413235529853892,1.2613262216625498,0.03125,0.07236253387682137,0.09127276144477936,0.04988417842575786,lanczos,0.23272521821533756,0.7981468548121258,69.97189556858764,3608,17860,3519,17509,89,351,0.29886094755682857,0.014480225239966355,3417,0,1.585053730512901,2478801236,2000010,100,max_steps
6,0.3188741831455854,0.10605991133406754,3.69463549504641,1.0,360.4882275927812,61.20828774012625,0.37930888849361877,0.3188741831455854,0.1530452103582789,0.10605991133406754,0.06043470534803336,1,-0.0891165987310167,1.25676617678215,0.015625,0.04808746962205143,0.06043470534803336,0.02744782713008742,lanczos,0.14135924538743702,0.8783304681627975,113.69423227032918,3659,21519,3566,21075,93,444,0.3151446570674636,0.020059161004432873,3464,0,1.5563678530123353,2895795964,2000011,100,max_steps
7,0.26677755556569743,0.07710352671267984,3.8749025539285915,1.0,422.15577512281016,61.66744911996648,0.3188741831455854,0.26677755556569743,0.10605991133406754,0.07710352671267984,0.05209662757988798,1,-0.07845801717122788,1.24545750172491,0.0078125,0.04182930971770308,0.05209662757988798,0.015617265146906234,lanczos,0.11370078813933526,0.999504969401999,176.4954761873476,3689,25208,3588,24663,101,545,0.3586627096101061,0.022102545259410175,3486,0,1.4959760503534518,25834032,2000012,100,max_steps
8,0.23438567769731625,0.05554507888344826,3.687152437449878,1.0,484.8608061429113,62.704910749103874,0.26677755556569743,0.23438567769731625,0.07710352671267984,0.05554507888344826,0.032391877868381186,1,-0.04774683572746163,1.255916930947832,0.00390625,0.0257914174657517,0.032391877868381186,0.008889143941333997,lanczos,0.07792302056878152,1.1378104244907516,272.77070406809634,3755,28963,3646,28309,109,654,0.3068356983349449,0.024795389356076114,3544,0,1.5175118964055203,3538555021,2000013,100,max_steps
9,0.20635394910986538,0.04133813727020222,4.203674226297177,1.0,548.4722353760153,63.61133606126532,0.23438567769731625,0.20635394910986538,0.05554507888344826,0.04133813727020222,0.02803172858745087,1,-0.041164933178092576,1.2531028278092269,0.001953125,0.02236985502335682,0.02803172858745087,0.005469698859031179,lanczos,0.05611241645049529,1.4002429079119818,421.8944549785247,3803,32766,3684,31993,119,773,0.41349618473103555,0.030739569742792728,3582,0,1.5239181989907808,3039846940,2000014,100,max_steps
