iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
0,2.3025850929940463,1.9158613282439758,0.0,0.0,0.0,0.0,,,,0,0,200,,,,,
1,1.4145091973223776,1.2766701686388897,2.7241988703878657,1.0,2.8752777157351375,2.803611346986145,1,0,-1.3046259214306353,200,200,200,1.3841464258682952,0.01610119124527376,0.0,2001025171,0
2,0.9977827651377712,0.6797083948725704,1.9032292516812097,1.0,5.6750324899330735,2.7996772471815348,1,0,-0.5271230572437144,200,400,200,1.129898300130985,0.012547983776877365,0.0,2240297063,0
3,0.7650357951920342,0.48047758553813646,1.6757821537674045,1.0,8.468096633907408,2.792986128013581,1,0,-0.28807975076426273,200,600,200,0.8244442945842796,0.01158379490082408,0.0,1311118443,0
4,0.6062598705268905,0.3488633419410538,1.4896108007812845,1.0,11.238052842672914,2.7698805681429803,1,0,-0.19595966380963586,200,800,200,0.693164905010443,0.009179253111562109,0.0,2854122131,0
5,0.5262018791657254,0.27284926396521486,1.1940921206633206,1.0,14.01816875860095,2.7800439768470824,1,0,-0.095298180501578,200,1000,200,0.5906465456946767,0.007692073014890619,0.0,2478801236,0
6,0.45849535064064606,0.211513519372829,1.1544110977866797,1.0,16.787110483739525,2.7688679001294076,1,0,-0.08114859381398637,200,1200,200,0.5223497525271883,0.00676304867642344,0.0,2895795964,0
7,0.4085789836936117,0.17457468596814724,1.067626254919998,1.0,19.568808084819466,2.781625592149794,1,0,-0.05909531289022906,200,1400,200,0.4599059897118421,0.005639294582651136,0.0,25834032,0
8,0.3707606715728995,0.14167116542024497,0.9832847263773642,1.0,22.362496771849692,2.793603617232293,1,0,-0.044156448683331816,200,1600,200,0.4178213565247081,0.005142624512137333,0.0,3538555021,0
9,0.34092787699844523,0.11659968870836043,0.9355487123385257,1.0,25.1632891446352,2.8007209920324385,1,0,-0.03428866981378107,200,1800,200,0.37639230255179895,0.004481512047360322,0.0,3039846940,0
10,0.31453767181649167,0.09808892282570172,0.9352481342706899,1.0,27.95004169968888,2.7866820828057826,1,0,-0.030102970722551824,200,2000,200,0.34146696576442126,0.0039049961690224714,0.0,758575323,0
11,0.2975151972466135,0.08618867380096194,0.7870407622406128,1.0,30.73577550984919,2.7856614529155195,1,0,-0.019332391047108058,200,2200,200,0.3131915114202518,0.0034382753682438098,0.0,923768393,0
12,0.28135272618338725,0.07483130069384278,0.7883498984577698,1.0,33.52743976889178,2.7915917611680925,1,0,-0.018317649774522847,200,2400,200,0.29357907589091214,0.0032985482563220197,0.0,3051805348,0
13,0.2673609330181443,0.06566222419157773,0.7632480761945245,1.0,36.33525061793625,2.8077361145988107,1,0,-0.015878861870448027,200,2600,200,0.2735531039740598,0.003038654812059537,0.0,3476010160,0
14,0.2569317199077464,0.05863013771129201,0.6912027186464125,1.0,39.137743478640914,2.8024190361611545,1,0,-0.011717574337929762,200,2800,200,0.256246413031632,0.0027384531980052212,0.0,932135537,0
15,0.24729416649278282,0.053577986922829564,0.6800242880239526,1.0,41.927435064688325,2.789616433903575,1,0,-0.010756110245492242,200,3000,200,0.24213660960559436,0.0025933113765298156,0.0,1521616097,0
16,0.24044666374617782,0.04957334270201369,0.5830416307145966,1.0,44.711038006003946,2.7835304429754615,1,0,-0.007644155713578582,200,3200,200,0.2314691921678338,0.0024023617329715294,0.0,2936722644,0
